,CAMPUS,EDIFICIO,AULA,num_aula
52957,MOSTOLES,Laboratorios Polivalentes III,Aula Informática S002,S002
53032,MOSTOLES,Laboratorios Polivalentes III,Aula S010,S010
53047,MOSTOLES,Laboratorios Polivalentes III,Laboratorio 201,201
53051,MOSTOLES,Laboratorios Polivalentes III,Laboratorio Geología 002,002
53071,MOSTOLES,Laboratorios Polivalentes III,Laboratorio de Traducción E Interpretación S001,S001
53078,MOSTOLES,Laboratorios Polivalentes III,Sala Multiusos Docente 001,001
53135,MOSTOLES,Laboratorios Polivalentes III,Seminario 203,203
55736,SEMIPRESENCIAL,Aulario I,Aula Informática 107,107
56918,SEMIPRESENCIAL,Biblioteca,Gimnasio S005,S005
58045,SEMIPRESENCIAL,Departamental I,Seminario 057,057
58056,SEMIPRESENCIAL,Departamental I,Seminario 157,157
58066,SEMIPRESENCIAL,Departamental I,Seminario 227,227
58915,SEMIPRESENCIAL,Gestión,Aula Informática G102,G102
58917,SEMIPRESENCIAL,Gestión,Aula Informática G107,G107
60335,SEMIPRESENCIAL,Laboratorio III,Aula Informática L3008,L3008
62109,SEMIPRESENCIAL,Laboratorios Polivalentes III,Aula Informática S002,S002
