apps reservadas
Musescore
Autodesk Autocad
Gdevelop 5.0.0
Java 8 Jdk
Quicktime
StarUML 4.0.1
DockerToolbox 19.03.1
Sketchup Pro
Cesk Edupack 2020
Autodesk 3DS Max 2019
Octave 5.2.0
Jclic 0.3.2.11
Super Pro Designer V9.5
Adobe Acrobat Reader
Easy68k V5.15.16.01
Unity 2018.4.3f1 + SDK Leap
PyCharm
Adobe Acrobat Pro Dc
Presto 2020.02
Visual Studio Code 1.47.3
Adept 2.17.1
Eclipse
7-zip 19.00
Eclipse Enterprise Java Developers 2021-06-R
Cype Ingenieros 2022a
Adobe Media Encoder Cc
Amadeus
Unreal Engine 4.26.2
MongoDB Compass
IntelliJ IDEA
Oracle SQL Developer 19.1.0
Python GUI
Origin 6.1
Hotpotatoes Español V7.0.1.0
python 3.7.3
Wxmaxima
Octave 6.2.0
Granta Edupack 2021 R2
Kali Linux 2018.2
Atlas Ti DEMO
Matlab R2019a
DockerToolbox
Gimp (ESP)
Lightworks
Git 2.32.0.2
Violet UML 3.0.0
SIMARIS project 5.1
ModelSim-Intel FPGA Edition 20.1.1.720
Arduino 1.8.13
Cuadernia 3
ArcGIS 10.4.1
G++
Dec2Hex
Modelio 4.1.0
Unity 2018.4.3f1 + SDK Master
Unity Editor 2018.4.3f1
Notepad++ 8.1.2
Lame Mp3 Inglés 3.99.3
MySQL 8.0.21.0
Granta Edupack
Oracle database client 19c
ShotCut
RStudio 1.3.1056
Eclipse IDE Java Dev
RICS-5
Maven
Gretl
Keepass 2.43
ForceDimension 3.6
Pollute 7.13
Anaconda 2019.03
Autodesk Mudbox 2019
Eclipse Gavab
Virtualbox
Movie Maker
Eclipse Gavab V3.0
NVivo 11
Autodesk Autocad 2021
SDL Trados Studio 2017
Rcommander
Netbeans Ide 8.2
Eclipse C++ 2021-06-R
MySQL Workbench
Past
Lazarus
LogiSim 2.7.1
BlueJ 5.0.1
Diesel RK Net 4.3.0.189
Netbeans
Google Earth V7.1.5.1557
Adobe Dreamweaver Cc
Sublime Text
CUDA 11.0.1
Comsol
Orange3-3.22.0
Microsoft Visio 2016
Processing 3.5.4
Open CV 3.4.3
